"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"2048";"29";"0,61";"4194304";"117021";"2,79";"0";"0";"30";"0";"0"
"05.11.2015 00:05:00";"2";"2048";"210";"4,38";"4194304";"950010";"22,65";"1220";"699";"30";"0";"0"
"05.11.2015 00:10:00";"2";"2048";"161";"3,37";"4194304";"712612";"16,99";"2";"18";"30";"0";"0"
"05.11.2015 00:15:00";"2";"2048";"49";"1,02";"4194304";"312476";"7,45";"1";"3";"30";"0";"0"
"05.11.2015 00:20:00";"2";"2048";"41";"0,86";"4194304";"150576";"3,59";"0";"0";"30";"0";"0"
"05.11.2015 00:25:00";"2";"2048";"50";"1,06";"4194304";"75078";"1,79";"0";"1";"30";"0";"0"
"05.11.2015 00:30:00";"2";"2048";"44";"0,93";"4194304";"102760";"2,45";"0";"2";"30";"0";"0"
"05.11.2015 00:35:00";"2";"2048";"39";"0,82";"4194304";"105696";"2,52";"0";"1";"30";"0";"0"
"05.11.2015 00:40:00";"2";"2048";"39";"0,83";"4194304";"105696";"2,52";"0";"0";"30";"0";"0"
"05.11.2015 00:45:00";"2";"2048";"40";"0,84";"4194304";"114085";"2,72";"0";"0";"30";"0";"0"
"05.11.2015 00:50:00";"2";"2048";"39";"0,83";"4194304";"97308";"2,32";"0";"0";"30";"0";"0"
"05.11.2015 00:55:00";"2";"2048";"38";"0,8";"4194304";"41524";"0,99";"0";"0";"30";"0";"0"
"05.11.2015 01:00:00";"2";"2048";"37";"0,79";"4194304";"49912";"1,19";"0";"0";"30";"0";"0"
"05.11.2015 01:05:00";"2";"2048";"38";"0,8";"4194304";"66689";"1,59";"1";"3";"30";"0";"0"
"05.11.2015 01:10:00";"2";"2048";"31";"0,66";"4194304";"108632";"2,59";"0";"2";"30";"0";"0"
"05.11.2015 01:15:00";"2";"2048";"30";"0,63";"4194304";"117021";"2,79";"0";"0";"30";"0";"0"
"05.11.2015 01:20:00";"2";"2048";"30";"0,64";"4194304";"133798";"3,19";"0";"0";"30";"0";"0"
"05.11.2015 01:25:00";"2";"2048";"35";"0,74";"4194304";"88919";"2,12";"0";"0";"30";"0";"0"
"05.11.2015 01:30:00";"2";"2048";"208";"4,35";"4194304";"178258";"4,25";"198";"108";"30";"2";"79"
"05.11.2015 01:35:00";"2";"2048";"199";"4,16";"4194304";"936169";"22,32";"960";"24";"30";"3";"161"
"05.11.2015 01:40:00";"2";"2048";"31";"0,65";"4194304";"449629";"10,72";"0";"0";"30";"0";"0"
"05.11.2015 01:45:00";"2";"2048";"30";"0,63";"4194304";"133798";"3,19";"0";"0";"30";"0";"0"
"05.11.2015 01:50:00";"2";"2048";"29";"0,62";"4194304";"66689";"1,59";"0";"0";"30";"0";"0"
"05.11.2015 01:55:00";"2";"2048";"30";"0,63";"4194304";"55365";"1,32";"0";"0";"30";"0";"0"
"05.11.2015 02:00:00";"2";"2048";"29";"0,62";"4194304";"58301";"1,39";"0";"0";"30";"0";"0"
"05.11.2015 02:05:00";"2";"2048";"31";"0,67";"4194304";"164417";"3,92";"0";"1";"30";"0";"0"
"05.11.2015 02:10:00";"2";"2048";"29";"0,62";"4194304";"108632";"2,59";"0";"1";"30";"0";"0"
"05.11.2015 02:15:00";"2";"2048";"31";"0,66";"4194304";"60817";"1,45";"0";"0";"30";"0";"0"
"05.11.2015 02:20:00";"2";"2048";"31";"0,66";"4194304";"91855";"2,19";"0";"0";"30";"0";"0"
"05.11.2015 02:25:00";"2";"2048";"31";"0,66";"4194304";"83467";"1,99";"0";"0";"30";"0";"0"
"05.11.2015 02:30:00";"2";"2048";"28";"0,6";"4194304";"97308";"2,32";"0";"0";"30";"0";"0"
"05.11.2015 02:35:00";"2";"2048";"29";"0,61";"4194304";"88919";"2,12";"0";"0";"30";"0";"0"
"05.11.2015 02:40:00";"2";"2048";"29";"0,62";"4194304";"66689";"1,59";"0";"0";"30";"0";"0"
"05.11.2015 02:45:00";"2";"2048";"28";"0,6";"4194304";"46976";"1,12";"0";"0";"30";"0";"0"
"05.11.2015 02:50:00";"2";"2048";"30";"0,63";"4194304";"91855";"2,19";"0";"0";"30";"0";"0"
"05.11.2015 02:55:00";"2";"2048";"29";"0,62";"4194304";"75078";"1,79";"0";"0";"30";"0";"0"
"05.11.2015 03:00:00";"2";"2048";"29";"0,61";"4194304";"72142";"1,72";"0";"0";"30";"0";"0"
"05.11.2015 03:05:00";"2";"2048";"29";"0,62";"4194304";"108632";"2,59";"0";"1";"30";"0";"0"
"05.11.2015 03:10:00";"2";"2048";"503";"10,49";"4194304";"262144";"6,25";"150";"8";"30";"0";"0"
"05.11.2015 03:15:00";"2";"2048";"30";"0,64";"4194304";"312476";"7,45";"0";"0";"30";"0";"0"
"05.11.2015 03:20:00";"2";"2048";"29";"0,63";"4194304";"91855";"2,19";"0";"0";"30";"0";"0"
"05.11.2015 03:25:00";"2";"2048";"30";"0,65";"4194304";"100244";"2,39";"0";"0";"30";"0";"0"
"05.11.2015 03:30:00";"2";"2048";"34";"0,71";"4194304";"102760";"2,45";"8";"4";"30";"0";"0"
"05.11.2015 03:35:00";"2";"2048";"31";"0,66";"4194304";"119538";"2,85";"0";"0";"30";"0";"0"
"05.11.2015 03:40:00";"2";"2048";"30";"0,64";"4194304";"72142";"1,72";"0";"0";"30";"0";"0"
"05.11.2015 03:45:00";"2";"2048";"36";"0,77";"4194304";"85983";"2,05";"0";"0";"30";"0";"0"
"05.11.2015 03:50:00";"2";"2048";"36";"0,76";"4194304";"60817";"1,45";"0";"0";"30";"0";"0"
"05.11.2015 03:55:00";"2";"2048";"30";"0,63";"4194304";"77595";"1,85";"0";"0";"30";"0";"0"
"05.11.2015 04:00:00";"2";"2048";"36";"0,75";"4194304";"69206";"1,65";"0";"0";"30";"0";"0"
"05.11.2015 04:05:00";"2";"2048";"31";"0,66";"4194304";"94372";"2,25";"0";"0";"30";"0";"0"
"05.11.2015 04:10:00";"2";"2048";"35";"0,75";"4194304";"77595";"1,85";"0";"0";"30";"0";"0"
"05.11.2015 04:15:00";"2";"2048";"37";"0,77";"4194304";"105696";"2,52";"0";"1";"30";"0";"0"
"05.11.2015 04:20:00";"2";"2048";"37";"0,79";"4194304";"44040";"1,05";"0";"0";"30";"0";"0"
"05.11.2015 04:25:00";"2";"2048";"36";"0,76";"4194304";"83467";"1,99";"0";"0";"30";"0";"0"
"05.11.2015 04:30:00";"2";"2048";"32";"0,68";"4194304";"69206";"1,65";"0";"0";"30";"0";"0"
"05.11.2015 04:35:00";"2";"2048";"35";"0,75";"4194304";"66689";"1,59";"0";"0";"30";"0";"0"
"05.11.2015 04:40:00";"2";"2048";"33";"0,7";"4194304";"63753";"1,52";"0";"0";"30";"0";"0"
"05.11.2015 04:45:00";"2";"2048";"37";"0,77";"4194304";"83467";"1,99";"0";"0";"30";"0";"0"
"05.11.2015 04:50:00";"2";"2048";"35";"0,73";"4194304";"49912";"1,19";"0";"0";"30";"0";"0"
"05.11.2015 04:55:00";"2";"2048";"35";"0,75";"4194304";"100244";"2,39";"0";"0";"30";"0";"0"
"05.11.2015 05:00:00";"2";"2048";"31";"0,66";"4194304";"75078";"1,79";"0";"0";"30";"0";"0"
"05.11.2015 05:05:00";"2";"2048";"29";"0,61";"4194304";"114085";"2,72";"0";"0";"30";"0";"0"
"05.11.2015 05:10:00";"2";"2048";"28";"0,6";"4194304";"108632";"2,59";"0";"0";"30";"0";"0"
"05.11.2015 05:15:00";"2";"2048";"31";"0,66";"4194304";"100244";"2,39";"0";"2";"30";"0";"0"
"05.11.2015 05:20:00";"2";"2048";"28";"0,6";"4194304";"144703";"3,45";"0";"1";"30";"0";"0"
"05.11.2015 05:25:00";"2";"2048";"28";"0,6";"4194304";"100244";"2,39";"0";"0";"30";"0";"0"
"05.11.2015 05:30:00";"2";"2048";"30";"0,63";"4194304";"75078";"1,79";"0";"0";"30";"0";"0"
"05.11.2015 05:35:00";"2";"2048";"30";"0,64";"4194304";"91855";"2,19";"0";"0";"30";"0";"0"
"05.11.2015 05:40:00";"2";"2048";"30";"0,64";"4194304";"83467";"1,99";"0";"0";"30";"0";"0"
"05.11.2015 05:45:00";"2";"2048";"30";"0,63";"4194304";"91855";"2,19";"0";"0";"30";"0";"0"
"05.11.2015 05:50:00";"2";"2048";"29";"0,62";"4194304";"58301";"1,39";"0";"0";"30";"0";"0"
"05.11.2015 05:55:00";"2";"2048";"29";"0,61";"4194304";"117021";"2,79";"0";"0";"30";"0";"0"
"05.11.2015 06:00:00";"2";"2048";"28";"0,6";"4194304";"41524";"0,99";"0";"0";"30";"0";"0"
"05.11.2015 06:05:00";"2";"2048";"31";"0,66";"4194304";"100244";"2,39";"0";"2";"30";"0";"0"
"05.11.2015 06:10:00";"2";"2048";"28";"0,6";"4194304";"75078";"1,79";"0";"0";"30";"0";"0"
"05.11.2015 06:15:00";"2";"2048";"28";"0,59";"4194304";"100244";"2,39";"0";"0";"30";"0";"0"
"05.11.2015 06:20:00";"2";"2048";"27";"0,58";"4194304";"94372";"2,25";"0";"0";"30";"0";"0"
"05.11.2015 06:25:00";"2";"2048";"28";"0,6";"4194304";"55365";"1,32";"0";"0";"30";"0";"0"
"05.11.2015 06:30:00";"2";"2048";"29";"0,61";"4194304";"38588";"0,92";"0";"0";"30";"0";"0"
"05.11.2015 06:35:00";"2";"2048";"29";"0,61";"4194304";"75078";"1,79";"0";"0";"30";"0";"0"
"05.11.2015 06:40:00";"2";"2048";"28";"0,6";"4194304";"66689";"1,59";"0";"0";"30";"0";"0"
"05.11.2015 06:45:00";"2";"2048";"28";"0,6";"4194304";"49912";"1,19";"0";"0";"30";"0";"0"
"05.11.2015 06:50:00";"2";"2048";"29";"0,61";"4194304";"91855";"2,19";"0";"0";"30";"0";"0"
"05.11.2015 06:55:00";"2";"2048";"28";"0,59";"4194304";"91855";"2,19";"0";"0";"30";"0";"0"
"05.11.2015 07:00:00";"2";"2048";"28";"0,6";"4194304";"52429";"1,25";"0";"0";"30";"0";"0"
"05.11.2015 07:05:00";"2";"2048";"28";"0,6";"4194304";"49912";"1,19";"0";"0";"30";"0";"0"
"05.11.2015 07:10:00";"2";"2048";"31";"0,66";"4194304";"108632";"2,59";"0";"1";"30";"0";"0"
"05.11.2015 07:15:00";"2";"2048";"29";"0,6";"4194304";"83467";"1,99";"0";"0";"30";"0";"0"
"05.11.2015 07:20:00";"2";"2048";"29";"0,61";"4194304";"58301";"1,39";"0";"0";"30";"0";"0"
"05.11.2015 07:25:00";"2";"2048";"28";"0,6";"4194304";"46976";"1,12";"0";"0";"30";"0";"0"
"05.11.2015 07:30:00";"2";"2048";"29";"0,61";"4194304";"77595";"1,85";"0";"0";"30";"0";"0"
"05.11.2015 07:35:00";"2";"2048";"29";"0,61";"4194304";"83467";"1,99";"0";"0";"30";"0";"0"
"05.11.2015 07:40:00";"2";"2048";"29";"0,61";"4194304";"58301";"1,39";"0";"0";"30";"0";"0"
"05.11.2015 07:45:00";"2";"2048";"30";"0,63";"4194304";"38588";"0,92";"0";"0";"30";"0";"0"
"05.11.2015 07:50:00";"2";"2048";"28";"0,6";"4194304";"117021";"2,79";"0";"0";"30";"0";"0"
"05.11.2015 07:55:00";"2";"2048";"28";"0,6";"4194304";"63753";"1,52";"0";"0";"30";"0";"0"
"05.11.2015 08:00:00";"2";"2048";"31";"0,66";"4194304";"108632";"2,59";"0";"0";"30";"0";"0"
"05.11.2015 08:05:00";"2";"2048";"31";"0,66";"4194304";"108632";"2,59";"0";"1";"30";"0";"0"
"05.11.2015 08:10:00";"2";"2048";"29";"0,62";"4194304";"178258";"4,25";"0";"0";"30";"0";"0"
"05.11.2015 08:15:00";"2";"2048";"30";"0,64";"4194304";"75078";"1,79";"0";"0";"30";"0";"0"
"05.11.2015 08:20:00";"2";"2048";"33";"0,69";"4194304";"91855";"2,19";"0";"1";"30";"0";"0"
"05.11.2015 08:25:00";"2";"2048";"30";"0,64";"4194304";"125410";"2,99";"0";"0";"30";"0";"0"
"05.11.2015 08:30:00";"2";"2048";"30";"0,62";"4194304";"189583";"4,52";"0";"0";"30";"0";"0"
"05.11.2015 08:35:00";"2";"2048";"29";"0,6";"4194304";"85983";"2,05";"0";"0";"30";"0";"0"
"05.11.2015 08:40:00";"2";"2048";"30";"0,64";"4194304";"100244";"2,39";"0";"0";"30";"0";"0"
"05.11.2015 08:45:00";"2";"2048";"27";"0,58";"4194304";"72142";"1,72";"0";"0";"30";"0";"0"
"05.11.2015 08:50:00";"2";"2048";"28";"0,6";"4194304";"46976";"1,12";"0";"0";"30";"0";"0"
"05.11.2015 08:55:00";"2";"2048";"30";"0,63";"4194304";"66689";"1,59";"0";"13";"30";"0";"0"
"05.11.2015 09:00:00";"2";"2048";"28";"0,6";"4194304";"136315";"3,25";"0";"0";"30";"0";"0"
"05.11.2015 09:05:00";"2";"2048";"31";"0,66";"4194304";"88919";"2,12";"0";"0";"30";"0";"0"
"05.11.2015 09:10:00";"2";"2048";"32";"0,68";"4194304";"72142";"1,72";"0";"1";"30";"0";"0"
"05.11.2015 09:15:00";"2";"2048";"28";"0,6";"4194304";"63753";"1,52";"0";"0";"30";"0";"0"
"05.11.2015 09:20:00";"2";"2048";"29";"0,62";"4194304";"72142";"1,72";"0";"0";"30";"0";"0"
"05.11.2015 09:25:00";"2";"2048";"195";"4,08";"4194304";"276405";"6,59";"3";"29";"30";"17";"19"
